"","Gene_name","log2FoldChange","padj"
"1","ENSG00000000938",-3.73433842690006,5.80693287918982e-21
"2","ENSG00000001617",-9.26976335768235,0.00312886853848529
"3","ENSG00000002746",-7.36202590369971,0.00405051422291437
"4","ENSG00000004399",1.79550425889442,0.015036900076857
"5","ENSG00000004478",2.27385429098068,0.00656349594676234
"6","ENSG00000004660",-3.31450341058542,4.75136781748815e-08
"7","ENSG00000004700",1.95535746150774,0.0145736760746755
"8","ENSG00000004766",2.5994778558035,1.83089023997851e-05
"9","ENSG00000005108",-7.86087144621997,0.0278092699613919
"10","ENSG00000005339",-1.96884135635348,3.72414786833227e-05
"11","ENSG00000005379",-5.72544549334865,3.81002786476456e-17
"12","ENSG00000005469",3.44550970584458,0.011011663298856
"13","ENSG00000005483",-1.97493621469539,0.000533589320919685
"14","ENSG00000005844",-2.33075832872627,7.10317106640336e-07
"15","ENSG00000006071",-8.1158448577131,0.000291122780153225
"16","ENSG00000006283",-7.92217197968936,0.000444560341572698
"17","ENSG00000006638",-3.16932727301139,0.0254694538498399
"18","ENSG00000006652",-3.53829030213306,3.07398437542798e-10
"19","ENSG00000006704",3.61398980995574,4.23512137386474e-05
"20","ENSG00000006715",2.45762682990304,1.06219670537119e-08
"21","ENSG00000006744",1.7298950454272,0.0304590927125981
"22","ENSG00000007047",-1.94135159915094,0.00422720136466923
"23","ENSG00000007264",3.38508842571239,0.000191563028961854
"24","ENSG00000007372",-7.50607002767647,0.0251416846694594
"25","ENSG00000007392",-1.7287249553486,0.0391554895511471
"26","ENSG00000007923",2.25104390851476,0.0386853451761615
"27","ENSG00000008056",-7.72794084564329,0.000970971712465712
"28","ENSG00000008083",-3.767244372851,1.69490967150847e-20
"29","ENSG00000008118",-7.57896215011537,0.00465315690380981
"30","ENSG00000008128",-2.9484417103803,5.7549589596778e-19
"31","ENSG00000008300",-3.33440597010513,0.0409937802137786
"32","ENSG00000009694",-7.77230952045149,0.000531002343545466
"33","ENSG00000009790",-2.39804268988695,7.28476931781202e-05
"34","ENSG00000009844",2.23913334257494,7.70302654529736e-05
"35","ENSG00000009950",-5.70551590205417,2.07807601863157e-09
"36","ENSG00000010278",3.34441973259464,1.3195056098942e-08
"37","ENSG00000010292",2.87863435079297,1.24772421208695e-07
"38","ENSG00000010295",1.82406079144574,0.036442003810498
"39","ENSG00000010310",-4.55192223095935,0.0236590714861935
"40","ENSG00000010327",3.82850670787614,5.88995021056751e-13
"41","ENSG00000010610",1.80302231863119,0.0281531791443871
"42","ENSG00000010704",3.61925347260642,1.32347382863164e-09
"43","ENSG00000010810",-3.48938616965413,1.93577326588678e-05
"44","ENSG00000011028",6.63428418289454,9.10794463159096e-15
"45","ENSG00000011198",-2.05620758298862,0.0237118311555009
"46","ENSG00000011201",5.55646118969043,0.000154952558667736
"47","ENSG00000011422",-4.47654471193239,9.56340725310584e-16
"48","ENSG00000011426",2.65102564830364,0.00162136631151162
"49","ENSG00000012171",-8.28169175141189,0.00125101465519489
"50","ENSG00000012232",-2.07141008560258,0.0263473463881828
"51","ENSG00000012779",-4.61253578710058,1.23920038974039e-13
"52","ENSG00000013293",-4.46969510771407,0.0357337753424972
"53","ENSG00000013441",-3.18896838588799,1.30728927390247e-08
"54","ENSG00000013561",1.89928349992864,0.0296677592830315
"55","ENSG00000013588",-8.89441732259641,1.31655741319265e-05
"56","ENSG00000014641",3.70251182229909,2.73910615987216e-11
"57","ENSG00000014914",-5.35466448068946,9.83862017469668e-08
"58","ENSG00000014919",3.10632815346217,0.00166989436490929
"59","ENSG00000015133",-2.45654787968387,0.00149417755922518
"60","ENSG00000015568",-2.0518083799154,0.0183462511854686
"61","ENSG00000016864",3.23654835290405,0.0077383808800154
"62","ENSG00000017427",8.24116714408937,3.88327259712854e-63
"63","ENSG00000018280",-2.22588596594333,0.0052124300751277
"64","ENSG00000018625",-7.27003874605413,0.0329574860540038
"65","ENSG00000018699",2.75733638109032,0.0028439589207542
"66","ENSG00000018869",4.25982850100835,0.0400070959926766
"67","ENSG00000019991",2.95557821507693,0.00679608558818667
"68","ENSG00000019995",-2.01274477051784,0.000191825118187987
"69","ENSG00000020129",2.35479391271429,0.0286541503248061
"70","ENSG00000020577",2.59113981490863,0.00341825562231602
"71","ENSG00000021645",-7.71738136584529,0.0013070379073634
"72","ENSG00000021826",-3.65045238050031,0.0167976844313905
"73","ENSG00000023287",-2.04168008955286,0.000749439377912835
"74","ENSG00000023516",3.46505532066839,2.94788215494448e-17
"75","ENSG00000023909",3.06549862453871,0.000370533185011946
"76","ENSG00000024526",4.0709298300621,0.00674275833889372
"77","ENSG00000025156",-1.99330631962213,0.0344077137805126
"78","ENSG00000025434",2.99496447668649,0.000577703330021576
"79","ENSG00000026103",-1.99428410909971,0.036170567819375
"80","ENSG00000026652",2.42745115718462,0.00799282976232384
"81","ENSG00000028528",2.08056776770084,0.00070719133035833
"82","ENSG00000029363",-1.72619870211664,0.00177623476327365
"83","ENSG00000029725",1.83168350333512,0.0481322613428507
"84","ENSG00000030419",4.5620498461904,0.00271452904591339
"85","ENSG00000030582",1.83504576221197,0.0262667288728219
"86","ENSG00000031081",2.02234318234116,0.00179543648540056
"87","ENSG00000031691",5.8640378926455,1.4867511384833e-05
"88","ENSG00000032219",-1.73440223828512,0.00885411821842467
"89","ENSG00000033011",2.20423797383664,0.00802503650671959
"90","ENSG00000033122",-3.38972198469314,0.0352671348032238
"91","ENSG00000033327",-2.52717193316966,2.11155693553669e-05
"92","ENSG00000033867",3.14534948046747,2.82954320694142e-08
"93","ENSG00000034152",-2.34425915822179,0.0109938812096556
"94","ENSG00000034713",1.75668335996626,0.0262600882326153
"95","ENSG00000035499",4.88620805738482,0.00401259787554165
"96","ENSG00000036828",-2.61743357647624,9.3275740599696e-05
"97","ENSG00000038274",1.9634413942144,0.00108392352913567
"98","ENSG00000038427",-5.3896051902855,3.73176854893858e-25
"99","ENSG00000038945",5.10526205541928,2.86378674472852e-47
"100","ENSG00000039139",-8.51711126771787,0.00149181373058457
"101","ENSG00000042286",2.49411112189598,0.0251072842106496
"102","ENSG00000042493",2.57690267880856,6.09432441292286e-08
"103","ENSG00000046604",-5.80947231427213,0.00171424476041356
"104","ENSG00000047230",2.49474919635166,0.0210432283334205
"105","ENSG00000047932",3.78954268003484,4.36219491778224e-12
"106","ENSG00000049089",-2.5757840431625,0.0173089268763022
"107","ENSG00000049130",4.63978598495499,3.93464929404854e-06
"108","ENSG00000049246",2.74383871641496,3.61339242397955e-05
